"title,""price"",""link"""
"Круг алмазный чашечный конический 12А2-45 Ф 100х5х3х32х20 АСМ 20/14 100% В1,""216,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-100h5h3h32h20-asm-20-14-100-v1.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 125х40х10х3х32 АС4 100/80 100% В2-01 48 карат (Полтава),""432,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-125kh40kh10kh3kh32-as4-10080-100-v201-48-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 125х40х10х3х32 АС4 100/80 100% В2-01 48 карат (Полтава, Diamond),""480,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-125h40h10h3h32-as4-100-80-100-v2-01-48-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 125х40х10х3х32 АС4 125/100 100% В2-01 48 карат (Полтава),""432,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-125kh40kh10kh3kh32-as4-125100-100-v201-48-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 125х40х10х3х32 АС4 125/100 100% В2-01 48 карат (Полтава, Diamond),""504,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-125h40h10h3h32-as4-125-100-100-v2-01-48-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 125х40х10х3х32 АС4 160/125 100% В2-01 48 карат (Полтава),""432,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-125h40h10h3h32-as4-160-125-100-v2-01-48-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 125х40х10х5х32 АС4 160/125 100% В2-01,""354,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-125h40h10h5h32-as4-160-125-100-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 100/80 100% В2-01 58 карат (Полтава),""534,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-150kh40kh10kh3kh32-as4-10080-100-v201-58-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 100/80 100% В2-01 58 карат (Полтава, Diamond),""552,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h10h3h32-as4-100-80-100-v2-01-58-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 100/80 В2-01 Базис (Полтава),""492,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h10h3h32-as4-10080-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 125/100 100% В2-01 58 карат (Полтава),""534,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-150kh40kh10kh3kh32-as4-125100-100-v201-58-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 125/100 100% В2-01 58 карат (Полтава, Diamond),""576,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h10h3h32-as4-125-100-100-v2-01-58-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 125/100 В2-01 Базис (Полтава),""492,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h10h3h32-as4-125100-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 160/125 100% В2-01 58 карат (Полтава),""534,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-150kh40kh10kh3kh32-as4-160125-100-v201-58-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 160/125 100% В2-01 58 карат (Полтава, Diamond),""558,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h10h3h32-as4-160-125-100-v2-01-58-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 100/80 100% В2-01 108 карат (Полтава),""744,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-150kh40kh20kh3kh32-as4-10080-100-v201-108-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 100/80 100% В2-01 108 карат (Полтава, Diamond),""822,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h20h3h32-as4-100-80-100-v2-01-108-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 100/80 В2-01 Базис (Полтава),""492,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h20h3h32-as4-10080-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 125/100 100% В2-01 108 карат (Полтава),""768,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-150kh40kh20kh3kh32-as4-125100-100-v201-108-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 125/100 В2-01 Базис (Полтава),""492,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h20h3h32-as4-125100-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х5х3х32 АС4 63/50 100% В2-01,""264,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h5h3h32-as4-63-50-100-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х5х3х32 АС4 80/63 100% 108 карат В2-01,""264,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h5h3h32-as4-80-63-100-108-karat-v2-01.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 160/125 100% В2-01 108 карат (Полтава),""768,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-150kh40kh20kh3kh32-as4-160125-100-v201-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 160/125 100% В2-01 108 карат (Полтава, Diamond),""864,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h20h3h32-as4-160-125-100-v2-01-108-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 160/125 В2-01 Базис (Полтава),""498,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h20h3h32-as4-160-125-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 200х50х20х3х51 АС4 100/80 100% В2-01 149 карат (Полтава),""1 152,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-200kh50kh20kh3kh51-as4-10080-100-v201-149-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 200х50х20х3х51 АС4 100/80 100% В2-01 149 карат (Полтава, Diamond),""1 188,00 грн"",""https://www.instrument.co.ua/products/krug-almaznij-chashechnij-konichnij-12a2-45-f-200h50h20h3h51-as4-100-80-100-v2-01-149-karat-poltava-diamond.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 200х50х20х3х51 АС4 100/80 В2-01 Базис (Полтава),""756,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-200h50h20h3h51-as4-100-80-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 200х50х20х3х51 АС4 125/100 100% В2-01 149 карат (Полтава),""954,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-chashechnyjj-konicheskijj-12a245-f-200kh50kh20kh3kh51-as4-125100-100-v201-149-karat-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 200х50х20х3х51 АС4 125/100 В2-01 Базис (Полтава),""756,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-200h50h20h3h51-as4-125-100-v2-01-bazis-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 50 х 2 х 16 х 1,5 АСР 100/80 100% В1,""90,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-50-h-2-h-16-h-1-5-asr-100-80-100-v1-v2-01-17-karat-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 80 х 3 х 20 х 2 АСР 125/100 100% В1,""96,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-80-h-3-h-20-h-2-asr-125-100-100-v1.html"""
"Круг алмазный тарельчатый 12R4 Ф 125 х 3 х 32 х 2 АСР 100/80 100% В1,""264,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-125-h-3-h-32-h-2-asr-100-80-100-v1.html"""
"Круг алмазный тарельчатый 12R4 Ф 125 х 13 х 3 х 2 х 32 АС4 100/80 100% В2-01 17 карат (Полтава),""360,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-tarelchatyjj-12r4-f-125-kh-13-kh-3-kh-2-kh-32-as4-10080-100-v201-17-karat-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 125 х 13 х 3 х 2 х 32 АС4 100/80 100% В2-01 17,6 карат (Полтава, Diamond)
													New,""360,00 грн"",""https://www.instrument.co.ua/products/krug-almaznij-tarilchastij-12r4-f-125-h-13-h-3-h-2-h-32-as4-100-80-100-v2-01-17-6-karat-poltava-diamond.html"""
"Круг алмазный тарельчатый 12R4 Ф 125 х 13 х 3 х 2 х 32 АС4 125/100 100% В2-01 17 карат (Полтава),""372,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-tarelchatyjj-12r4-f-125-kh-13-kh-3-kh-2-kh-32-as4-125100-100-v201-17-karat-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 125 х 13 х 3 х 2 х 32 АС4 125/100 100% В2-01 17,6 карат (Полтава, Diamond)
													New,""372,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-125-h-13-h-3-h-2-h-32-as4-125-100-100-v2-01-17-6-karat-poltava-diamond.html"""
"Круг алмазный тарельчатый 12R4 Ф 150 х 16 х 5 х 3 х 32 АС4 100/80 В2-01 Базис (Полтава),""468,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-150-h-16-h-5-h-3-h-32-as4-10080-v2-01-bazis-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 150 х 16 х 5 х 3 х 32 АС4 125/100 100% В2-01 35,4 карат (Полтава),""480,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-tarelchatyjj-12r4-f-150-kh-16-kh-5-kh-3-kh-32-as4-125100-100-v201-354-karat-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 150 х 16 х 5 х 3 х 32 АС4 125/100 В2-01 Базис (Полтава),""462,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-150-h-16-h-5-h-3-h-32-as4-125-100-v2-01-bazis-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 150 х 16 х 5 х 3 х 32 АС4 160/125 В2-01 Базис (Полтава),""462,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-tarelchatyj-12r4-f-150-h-16-h-5-h-3-h-32-as4-160125-v2-01-bazis-poltava.html"""
"Круг алмазный тарельчатый 12R4 Ф 150 х 16 х 5 х 3 х 32 АС4 80/63 100% В2-01 35,4 карат (Полтава),""480,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-tarelchatyjj-12r4-f-150-kh-16-kh-5-kh-3-kh-32-as4-8063-100-v201-354-karat-poltava.html"""
"Круг алмазный плоский с двухсторонним коническим профилем 14EE1 Ф 350 х 15 х 6 х 4 х 60 х 127 АС4 200/160 В1-04,""480,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-s-dvukhstoronnim-konicheskim-profilem-14ee1-f-350-kh-15-kh-6-kh-4-kh-60-kh-127-as4-200160-v104.html"""
"Круг алмазный плоский с двухсторонним коническим профилем 14EE1 Ф 400 х 15 х 6 х 6 х 60 х 203 АС4 160/125,""900,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-s-dvuhstoronnim-konicheskim-profilem-14ee1-f-400-h-15-h-6-h-6-h-60-h-203-as4-160-125.html"""
"Круг алмазный плоский с двухсторонним коническим профилем 14EE1 Ф 400 х 15 х 6 х 6 х 60 х 203 АС4 63/50 К-4 В1-04,""576,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-s-dvukhstoronnim-konicheskim-profilem-14ee1-f-400-kh-15-kh-6-kh-6-kh-60-kh-203-as4-6350-k4-v104.html"""
"Круг алмазный плоский с двухсторонним коническим профилем 14EE1 Ф 400 х 15 х 6 х 6 х 60 х 203 АС6 63/50 М2-01,""600,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-s-dvukhstoronnim-konicheskim-profilem-14ee1-f-400-kh-15-kh-6-kh-6-kh-60-kh-203-as6-6350-m201.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 4 х 4 х 2 х 32 АС4 160/125 В2-01 100% 25,40 карат (Полтава),""600,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-4-h-2-h-4-h-32-r2-160-125-v2-01.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 5 х 5 х 2,5 х 32 АС4 100/80 В2-01 100% 50 карат (Полтава),""600,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-5-h-5-h-2-5-h-32-as4-100-80-v2-01-100-50-karat-poltava.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 5 х 5 х 2,5 х 32 АС4 125/100 В2-01 100% 50 карат (Полтава),""624,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-5-h-5-h-2-5-h-32-as4-125-100-v2-01-100-50-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 32 х 10 х 3 х 10 АС5 125/100 100% В2-01,""54,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-32-kh-10-kh-3-kh-10-as5-125100-100-v201.html"""
"Круг алмазный плоский ПП 1А1 Ф 32 х 16 х 3 х 10 АС4 100/80 100% В2-01,""66,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-32-kh-16-kh-3-kh-10-as4-10080-100-v201.html"""
"Круг алмазный плоский ПП 1А1 Ф 80 х 10 х 3 20 АС4 100/80 100% В2-01 32 карат (Полтава),""282,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-80-h-10-h-3-20-as4-10080-100-v2-01-32-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 100 х 10 х 3 х 20 АС4 100/80 100% В2-01 40 карат (Полтава),""378,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-100-kh-10-kh-3-kh-20-as4-10080-100-v201-40-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 100 х 10 х 3 х 20 АС4 125/100 100% В2-01 40 карат (Полтава),""378,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-100-kh-10-kh-3-kh-20-as4-125100-100-v201-40-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 125 х 3 х 3 х 32 АС4 100/80 100% В2-01,""180,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-125-h-3-h-3-h-32-as4-100-80-100-v2-01.html"""
"Круг алмазный плоский ПП 1А1 Ф 125 х 3 х 3 х 32 АС4 80/63 100% В2-01,""180,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-125-h-3-h-3-h-32-as4-80-63-100-v2-01.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 100/80 100% В2-01 61 карат (Полтава),""624,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-150-kh-10-kh-3-kh-32-as4-10080-100-v201-61-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 100/80 100% В2-01 61 карат (Полтава, Diamond),""720,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-100-80-100-v2-01-61-karat-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 125/100 100% В2-01 61 карат (Полтава),""624,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-150-kh-10-kh-3-kh-32-as4-125100-100-v201-61-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 125/100 100% В2-01 61 карат (Полтава, Diamond),""750,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-125-100-100-v2-01-61-karat-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 125/100 В2-01 Базис (Полтава, Diamond)
													New,""480,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-125-100-v2-01-bazis-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 125/100 В2-01 Базис (Полтава),""624,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-125100-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 160/125 100% В2-01 61 карат (Полтава),""624,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-160125-100-v2-01-61-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 160/125 100% В2-01 61 карат (Полтава, Diamond),""720,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-160-125-100-v2-01-61-karat-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 3 х 32 АС4 160/125 В2-01 Базис (Полтава),""540,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-3-h-32-as4-160125-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 10 х 5 х 76 АС4 80/63 100% В2-01 100 карат (Інстайл),""594,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-10-h-5-h-76-as4-80-63-100-v2-01-100-karat-instajl.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 125/100 100% В2-01 122 карат (Полтава),""888,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-125100-100-v2-01-122-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 125/100 100% В2-01 122 карат (Полтава, Diamond),""1 068,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-125-100-100-v2-01-122-karat-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 125/100 В2-01 Базис (Полтава),""942,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-125-100-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 160/125 100% В2-01 122 карат (Полтава),""1 068,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-160125-100-v2-01-122-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 160/125 100% В2-01 122 карат (Полтава, Diamond),""1 122,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-160-125-100-v2-01-122-karat-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 160/125 В2-01 Базис (Полтава),""786,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-160-125-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 6 х 3 х 76 АС4 125/100 100% В2-01 49 карат,""420,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-6-kh-3-kh-76-as4-125100-100-v201-49-karat.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 6 х 3 х 76 АС6 125/100 М2-01,""336,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-6-kh-3-kh-76-as6-125100-m201.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 6 х 3 х 76 АС8 50/40 100% В2-01,""432,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-6-h-3-h-76-as8-50-40-100-v2-01.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 6 х 3 х 76 АС8 80/63 100% В2-01,""432,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-6-h-3-h-76-as8-80-63-100-v2-01.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 3 х 76 АС4 100/80 В2-01 Базис (Полтава),""720,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-10-h-3-h-76-as4-100-80-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 3 х 76 АС4 125/100 В2-01 Базис (Полтава),""720,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-10-h-3-h-76-as4-125-100-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 5 х 76 АС 80/63 100% В2-01,""576,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-10-h-5-h-76-as-80-63-100-v2-01.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 3 х 76 АСН 60/40 М2-01,""420,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-10-kh-3-kh-76-asn-6040-m201.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 5 х 76 АС4 125/100 100% В2-01 135 карат (Полтава),""1 320,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-10-kh-5-kh-76-as4-125100-100-v201-135-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200х10х5х76 АС4 125/100 100% В2-01 135 карат (Полтава, Diamond)
													New,""1 440,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200h10h5h76-as4-125-100-100-v2-01-135-karat-poltava-diamond.html"""
